ID,과목,소과목,문제,정답
1.1.002,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,종합부동산세는 ( )이고 재산세는 ( )이다.,"국세, 지방세"
1.1.003,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"부가가치세, 증권거래세, 주세, 인지세는 ( )이다.",간접세
1.1.004,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 세법에 규정하는 기한이 공휴일·토요일·근로자의 날에 해당하는 때에는 그 전날을 기한으로 한다.,× →그 다음날
1.1.005,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,우편으로 서류를 제출하는 경우에는 (통신날짜도장이 찍힌 날 / 도달하는 날)에 신고가 된 것으로 본다.,통신날짜도장이 찍힌 날
1.1.006,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 정보통신망을 이용한 송달은 과세 관청이 필요한 경우에 한하여 사용할 수 있는 송달 방식이다.,× →정보통신망을 이용한 송달은 서류송달을 받을 자가 신청하는 경우에 한하여 행한다.
1.1.007,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,공시송달은 해당 서류의 요지를 공고한 날로부터 ( )이 경과함으로써 서류가 송달된 것으로 보는 것을 말한다.,14일
1.1.008,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"소득세, 법인세, 부가가치세는 ( )에 납세의무가 성립한다.",과세기간이 종료하는 때
1.1.009,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"상속세는 ( )에, 증여세는 ( )에 납세의무가 성립한다.",상속이 개시된 때 / 증여재산을 취득한 때
1.1.010,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"납세의무는 ( ), ( ), ( )의 세 가지 방식으로 확정된다.","신고확정, 부과확정, 자동확정"
1.1.011,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"소득세나 부가가치세는 ( ), 상속세나 증여세는 ( ), 인지세나 원천징수하는 소득세 등은 ( )로 납세의무를 확정한다.",신고확정 / 부과확정 / 자동확정
1.1.012,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"납세의무가 소멸되는 것은 ( ), ( ), ( )의 3가지에 의한다.","납부나 충당 등이 있는 때, 부과처분이 취소되거나 철회될 때, 제척기간이 만료된 때, 소멸시효가 완성된 때"
1.1.013,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"부과된 국세를 징수하는 기간을 (제척기간 / 소멸시효)기(이)라고 하며, 5년(5억 원 이상 10년)을 적용한다.","소멸시효 → 국세를 부과하는 기간 = 제척기간, 부과된 국세를 징수하는 기간 = 소멸시효"
1.1.014,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 압류 등은 사유중단사유이다.,∘ → 압류 등은 시효중단사유이다.
1.1.015,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 법정기한 내에 과세표준 신고서를 제출하지 않은 경우 수정신고나 경정청구의 대상이 된다.,"× →기한 내 신고를 하지 않은 경우는 무신고가산세 대상이고, 기한 내 신고를 했는데 과소신고 한 경우 수정신고의 대상이고, 과다신고를 한 경우 경정청구의 대상이다."
1.1.016,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"과세표준 수정신고서를 법정기한 경과 후 ( ) 이내에 제출하는 경우에는 경과기간에 따라 과소신고가산세의 일부를 경감하며, 경정청구는 법정신고기한 경과 후 ( ) 이내에 청구함으로서 세액의 환급을 받을 수 있다.",2년 / 5년
1.1.017,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"조세불복제도에는 ( ), ( ), ( )가 있으며, 처분을 안 날로부터 ( ) 이내에 제기해야 한다.","이의신청, 심사청구, 심판청구 / 90일 → 심사청구는 국세청장 또는 감사원장을 대상으로 한다."
